Department,ID,Name,Description,Prerequisites,Old Module(s),Proposed Expiry,Materials Link,Safety Critical,Grants,Status,Notes
PROD,PROD-101,Intro to Producing,"What a producer actually does at the NNT: the show lifecycle from proposal to get-out, assembling and supporting a team, the committee's role, and where to get help when it goes wrong.",NNT-001,,Never,,,,DRAFT,NEW section: subcommittee to confirm. Sign-off lead TBC.
PROD,PROD-102,Budgeting and Show Finance,"Setting and tracking a show budget, petty cash and reclaims, working with the Treasurer, and what happens when you overspend.",PROD-101,,Never,,,,DRAFT,NEW section: subcommittee to confirm.
PROD,PROD-111,Marketing Your Show,"Working with the Marketing team: poster and social deadlines, press and reviewers, photography calls, and archive requirements. Sits alongside ADMN-111, which is the delivering side.",PROD-101,,Never,,,,DRAFT,NEW section: subcommittee to confirm.
PROD,PROD-112,Rights and Licensing,"Securing performance rights, licensing bodies and typical timelines, what you may and may not cut or re-arrange, music licensing, and the no rights, no show rule.",PROD-101,,Never,,,,DRAFT,NEW section: subcommittee to confirm.
PROD,PROD-201,Production Management,"The production schedule, planning a get-in and get-out, risk assessments for the show, coordinating HoDs, and contingency planning.","PROD-102, SFTY-031",,Never,,,,DRAFT,NEW section: subcommittee to confirm.
PROD,PROD-CERT,Certified Producer,Complete all Producing modules and produce a show mentored by an experienced producer. Signed off by the producing lead. May then mentor new producers.,"PROD-111, PROD-112, PROD-201",,Never,,,supervisor,DRAFT,NEW section: subcommittee to confirm. Sign-off lead TBC.
ADMN,ADMN-101,Front of House Management,"Managing reservations and tickets on the door, emergency procedures and the DM role, pre-show announcements, access needs and the access provision on show nights, and handling incidents and the end-of-night report.",NNT-001,,Academic year,,,,DRAFT,EXPANDED; prerequisite NNT-001 added by the ITM draft. Annual because it feeds duty-manager eligibility and FOH procedure changes with the new box office.
ADMN,ADMN-102,Selling Alcohol,"Committee only. Licence conditions, Challenge 25, refusing service, the refusals log, and closing the bar.",ADMN-101,,Academic year,,,,DRAFT,"EXPANDED; prerequisite ADMN-101 added by the ITM draft. Annual, matching the FOH refresh."
ADMN,ADMN-103,Box Office and Ticketing,"Using Proscenium as front-of-house or box-office staff: looking up and collecting reservations, the show-night screen and QR scanning, walk-up sales, comps and passes, and closing the night.",NNT-001,,Never,,,,DRAFT,NEW: subcommittee to confirm. This is the training behind granting the proscenium FRONT_OF_HOUSE and BOX_OFFICE roles.
ADMN,ADMN-111,Publicity and Marketing Basics,"Advertising through posters, social media and similar, and recording a show.",NNT-001,,Never,,,,DRAFT,
ADMN,ADMN-201,Committee Operations and Governance,"Specialised training for elected committee members: duties, responsibilities, governance and welfare structures. Delivered to the incoming committee annually.",,,Academic year,,,,DRAFT,
LEAD,LEAD-301,Running a Workshop,"Teaching techniques, constructive feedback, and managing a workshop environment. Required for all members wishing to deliver training.",NNT-001,,Never,,,,DRAFT,
LEAD,LEAD-CERT,Trainer,"Allows a member to run training sessions unsupervised: this certification is what unlocks logging a session in this system. Requires LEAD-301, delivering a workshop supervised, manual sign-off, and committee approval.",LEAD-301,,Academic year,,,trainer,DRAFT,Proposed academic-year expiry flagged in the draft: trainer standing renews each year with a light-touch re-approval. Subcommittee may prefer never.
